sap_id,origin_country,name_sap,name,mono_website_url,status
1,Ý,Max&Co.,Max&Co.,https://www.maisononline.vn/collections/max-co,published
2,Trung Quốc,Sneaker Buzz,Sneaker Buzz,https://www.maisononline.vn/collections/thuong-hieu-sneakerbuzz,published
3,New York,Coach,Coach,https://www.maisononline.vn/collections/coach,published
4,Singapore,Pedro,Pedro,https://www.maisononline.vn/collections/pedro,published
5,Ý,Weekend Max Mara,Weekend Max Mara,https://www.maisononline.vn/collections/thuong-hieu-weekend-max-mara,published
6,Hàn Quốc,MLB,MLB,https://www.maisononline.vn/collections/mlb/,published
7,Mỹ,Dickies,Dickies,https://www.maisononline.vn/collections/thuong-hieu-dickies/,published
8,Ý,Dsquared2,Dsquared2,https://www.maisononline.vn/collections/dsquared2/,published
9,Mỹ,New Balance,New Balance,https://www.maisononline.vn/collections/thuong-hieu-new-balance/,published
10,Đức,Birkenstock,Birkenstock,https://www.maisononline.vn/collections/birkenstock,published
11,Mỹ,Converse,Converse,https://www.maisononline.vn/collections/thuong-hieu-converse,published
12,Nhật Bản,Descente,Descente,https://www.maisononline.vn/collections/descente-viet-nam-maisononline-hang-hieu-chinh-hang/,published
13,Hàn Quốc,Fila,Fila,https://www.maisononline.vn/collections/thuong-hieu-fila,published
14,Việt Nam,Gigi,Gigi,https://www.maisononline.vn/collections/thuong-hieu-gigi,published
15,Brasil,Havaianas,Havaianas,https://www.maisononline.vn/collections/havaianas,published
16,Singapore,Le Silla,Le Silla,https://www.maisononline.vn/collections/thuong-hieu-le-silla,published
17,Việt Nam,Lug,Lug,https://www.maisononline.vn/collections/thuong-hieu-lug,published
18,Anh,Lush,Lush,https://www.maisononline.vn/collections/lush,published
19,Hàn Quốc,Marhen.J,Marhen.J,https://www.maisononline.vn/collections/marhen-j,published
20,Trung Quốc,Mujosh,Mujosh,https://www.maisononline.vn/collections/mujosh,published
21,Mỹ,NCAA,NCAA,https://www.maisononline.vn/collections/thuong-hieu-ncaa,published
22,Hàn Quốc,Nerdy,Nerdy,https://www.maisononline.vn/collections/thuong-hieu-nerdy,published
23,Mỹ,Nike Swim,Nike Swim,https://www.maisononline.vn/collections/thuong-hieu-nike-swim,published
24,Mỹ,Nine West,Nine West,https://www.maisononline.vn/collections/thuong-hieu-nine-west,published
25,Thuỵ Sĩ,On Running,On Running,https://www.maisononline.vn/collections/thuong-hieu-on-running,published
26,Ý,Pinko,Pinko,https://www.maisononline.vn/collections/thuong-hieu-pinko,published
27,Hàn Quốc,Prospecs,Prospecs,https://www.maisononline.vn/collections/thuong-hieu-pro-specs,published
28,Đức,Puma,Puma,https://www.maisononline.vn/collections/puma,published
29,Mỹ,Skechers,Skechers,https://www.maisononline.vn/collections/skechers,published
30,Trung Quốc,Urban Revivo,Urban Revivo,https://www.maisononline.vn/collections/thuong-hieu-urban-revivo,published
31,Mỹ,Vans,Vans,https://www.maisononline.vn/collections/thuong-hieu-vans,published
32,Anh,Charles Tyrwhitt,Charles Tyrwhitt,https://www.maisononline.vn/collections/thuong-hieu-charles-tyrwhitt,published
33,Việt Nam,Owen,Owen,https://www.maisononline.vn/collections/thuong-hieu-owen,published
34,Mỹ,Beverly Hills Polo Club,Beverly Hills Polo Club,https://www.maisononline.vn/collections/beverly-hills-polo-club-hang-hieu-chinh-hang-maisononline,published
35,Pháp,Palladium,Palladium,https://www.maisononline.vn/collections/thuong-hieu-palladium,published
36,Mỹ & Singapore,La Gourmet,La Gourmet,https://www.maisononline.vn/collections/thuong-hieu-la-gourmet,published
37,Ý,Locman,Locman,https://www.maisononline.vn/collections/thuong-hieu-locman,published
38,Thụy Điển,Daniel Wellington,Daniel Wellington,https://www.maisononline.vn/collections/thuong-hieu-daniel-wellington,published
39,Pháp,Elle,Elle,https://www.maisononline.vn/collections/thuong-hieu-elle,published
40,Mỹ,Fossil,Fossil,https://www.maisononline.vn/collections/thuong-hieu-fossil,published
41,Việt Nam,iBasic,iBasic,https://www.maisononline.vn/collections/thuong-hieu-ibasic,published
42,Đức,Adidas,Adidas,https://www.maisononline.vn/collections/thuong-hieu-adidas,published
43,Ấn Độ,Titan,Titan,https://www.maisononline.vn/collections/thuong-hieu-titan,published
44,Mỹ,Ciwete,Ciwete,https://www.maisononline.vn/collections/thuong-hieu-ciwete,published
45,Bỉ,Green Pan,Green Pan,https://www.maisononline.vn/collections/thuong-hieu-greenpan,published
